Title,listing_title,short_description,Description,Segment,listing_image,Images,detail_url,Website,Email,ContactPhone,Founders,Status,Investments,Certification,Team,Programs,LookingForTeam
"""4You""","""4You""",Psixoloji xidmətlər üçün onlayn platforma,Psixoloji xidmətlər üçün onlayn platforma,Tibb,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/4you.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/4you.jpg,https://www.startup.az/startup-content/4you-445,https://4youcare.com/,support@4youcare.com,+994 50 431 51 43,“4YOUKİD” MMC,İşləyir,Axtarılmır,Var,,,
Abyss,Abyss,"Dünyadakı developerlərin ünsiyyət qurması, netvorking yaratması və ən əsası, kod parçalarını alıb-satması üçün onlayn platforma","Dünyadakı developerlərin ünsiyyət qurması, netvorking yaratması və ən əsası, kod parçalarını alıb-satması üçün onlayn platforma",Maliyyə və e-ticarət,https://www.startup.az/frontend/web/uploads//images/investor/innoland.png,https://www.startup.az/frontend/web/uploads//images/investor/innoland.png,https://www.startup.az/startup-content/abyss-253,abysshub.com,kamal.taghizade@outlook.com,0502280003,"Kamal Tağızadə, Rashid Aliev",İşləyir,Axtarılmır,Yoxdur,3 nəfər,“INNOLAND” İnkubasiya və Akselerasiya Mərkəzi,Xeyr
"""Adscreen""","""Adscreen""",Taksi sərnişinləri üçün rəqəmsal reklam platforması,Taksi sərnişinləri üçün rəqəmsal reklam platforması,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/adscreen-434,-----,info@startup.az,,"""Adscreen"" Məhdud Məsuliyyətli Cəmiyyəti",İşləyir,Axtarılmır,Var,,,
"""Ainuvision”","""Ainuvision”",Video kontent üzərindən ağıllı axtarış platforması,Video kontent üzərindən ağıllı axtarış platforması,Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/maxresdefault.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/maxresdefault.jpg,https://www.startup.az/startup-content/ainuvision-458,https://www.ainuvision.com/,contact@ainuverse.com,,"""Ainuverse” MMC",İşləyir,Axtarılmır,Var,,,
AlfinX,AlfinX,Bizneslər üçün Aİ əsaslı platforma,Bizneslər üçün Aİ əsaslı platforma,Marketinq,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/alfinx-411,https://alfinx.com/az,info@simic.app,+994 55 425 06 12,"""Simic App"" MMC",İşləyir,Axtarılmır,Var,,,
"""Alimok""","""Alimok""",Uşaqların şəxsi inkişaf və zehni biliklərini inkişaf etdirmək üçün təhsil platforması,Uşaqların şəxsi inkişaf və zehni biliklərini inkişaf etdirmək üçün təhsil platforması,Təhsil,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/alimok-221,http://vxsida.gov.az/az,support@alimok.com,994 50 204 66 91,"""Alimok"" MMC",Satış edir,25 min AZN-ə qədər,Var,,,
Alkredit.az,Alkredit.az,"Alkreditaz saytı kredit məhsullarının axtarışı, muqayisəsi və onlayn müraciəti üçün yaradılmış layihədir","Alkredit.az saytı kredit məhsullarının axtarışı, muqayisəsi və onlayn müraciəti üçün yaradılmış layihədir. | alkredit.az, kreditlər arasında müqayisə edərək sizə ən uyğun olanını seçməyinizə koməklik göstərir. Kreditləri faiz miqdarına görə, məbləğin həcminə görə, alınan komissiyaya görə və digər bütün şərtlərinə görə sıralaya bilər, sizə ən sərfəli olanını seçə bilərsiniz. alkredit.az saytı hal hazırda kredit kartları, istehlak kreditləri, avto kreditlər, mikrokreditlər, biznes kreditləri və ipoteka krediti üzrə ixtisaslaşmışdır.",Marketinq,https://www.startup.az/frontend/web/uploads//images/alkredit.jpeg,https://www.startup.az/frontend/web/uploads//images/alkredit.jpeg,https://www.startup.az/startup-content/alkredit.az-91,https://alkredit.az/,info@alkredit.az,051 333 18 00,-----,Satış edir,50 min AZN -ə,Yoxdur,1-10,,-----
"""All Fitness""","""All Fitness""",Fitness klublara abunəlik və dəqiqə hesabı qoşulmaq üçün platforma,Fitness klublara abunəlik və dəqiqə hesabı qoşulmaq üçün platforma,İdman,https://www.startup.az/frontend/web/uploads//images/investor/kob.jpg,https://www.startup.az/frontend/web/uploads//images/investor/kob.jpg,https://www.startup.az/startup-content/all-fitness-330,http://vxsida.gov.az/az,info@startup.az,,"""All Fitness"" MMC",İşləyir,Axtarılmır,Var,,,
“Allinus”,“Allinus”,Onlayn sorğu platforması,Onlayn sorğu platforması,Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/Allinus.png,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si1/Allinus.png,https://www.startup.az/startup-content/allinus-439,https://allinus.az/,info@allinus.az,+994 55 909 80 00,"""Allin.Us"" MMC",İşləyir,Axtarılmır,Var,,,
"""Alpha N Hospitality"" layihəsi","""Alpha N Hospitality"" layihəsi",Qidalanma prosesini optimallaşdıran platforma və mobil tətbiq,Qidalanma prosesini optimallaşdıran platforma və mobil tətbiq,Qacetlər,https://www.startup.az/frontend/web/uploads//images/Startuplar/kobia.jpg,https://www.startup.az/frontend/web/uploads//images/Startuplar/kobia.jpg,https://www.startup.az/startup-content/alpha-n-hospitality-layihesi-381,https://www.anhosp.com/az,info@anhosp.com,+994 50 785 29 73,“Alfa Hospitality” MMC,İşləyir,Axtarılmır,Var,,,
Audiokitab,Audiokitab,"“Audiokitab” yeni texnologiyalar vasitəsilə insanların klassik, müasir Azərbaycan dünya yazıçıları və onların əsərləri haqqında məlumatlandırır Bu innovativ layihə dincləyicilərin mütaliə vərdişlərinin təkmilləşdirir və onlarda mütaliə mədəniyyətinin inkişaf etirir","“Audiokitab” yeni texnologiyalar vasitəsilə insanların klassik, müasir Azərbaycan dünya yazıçıları və onların əsərləri haqqında məlumatlandırır. Bu innovativ layihə dincləyicilərin mütaliə vərdişlərinin təkmilləşdirir və onlarda mütaliə mədəniyyətinin inkişaf etirir.",Həyat tərzi,https://www.startup.az/frontend/web/uploads//images/audio.jpg,https://www.startup.az/frontend/web/uploads//images/audio.jpg,https://www.startup.az/startup-content/audiokitab-196,https://audiokitab.az/,contact@audiokitab.com,+994557600220,-----,Satış edir,Axtarılmır,Yoxdur,------,,
"""Autoreport"" layihəsi","""Autoreport"" layihəsi",“Autoreport” ikinci əl avtomobillər üçün məlumat bazası,“Autoreport” ikinci əl avtomobillər üçün məlumat bazası,Nəqliyyat,https://www.startup.az/frontend/web/uploads//images/Startuplar/autoreport.jpg,https://www.startup.az/frontend/web/uploads//images/Startuplar/autoreport.jpg,https://www.startup.az/startup-content/autoreport-layihesi-367,www.autoreport.az,support@autoreport.az,(+994)513177260,“ND Opinions” MMC,İşləyir,25 min AZN-ə qədər,Var,,,
