listing_title,short_description,listing_image,detail_url,image_detail,Başlıq,Seqment,Təsvir,Təsisçilər,Komanda,Komanda axtar,Yaranma tarixi,Status,İnvestisiyalar,Proqramlarda iştirak,Əlaqə,Email,Veb,Startap Şəhadətnaməsi,LongDescription,FallbackAllP,Şəkillər
"""Vvaverıty""",Neft və qaz sektorunda geoloji dataların vizualizasiyası və təhlili üçün proqram təminatı,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/vvaverity-223,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,"""Vvaverıty""",Ekologiya,Neft və qaz sektorunda geoloji dataların vizualizasiyası və təhlili üçün proqram təminatı,"""Vvaverıty"" MMC",---,---,,Satış edir,25 min AZN-ə qədər,,994 55 640 18 99,company@waverity.ai,---,Var,"""Vvaverıty""",,
"""E-legal""",Hüquq məsləhət xidmətlərinin onlayn təşkili,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/e-legal-193,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,"""E-legal""",Həyat tərzi,Hüquq məsləhət xidmətlərinin onlayn təşkili,S. Həbibova,---,---,,Satış edir,25 min AZN-ə qədər,,994 50 733 00 99,shebibova@yahoo.com,shebibova@yahoo.com,Var,,"""E-legal"" | Həyat tərzi | Hüquq məsləhət xidmətlərinin onlayn təşkili | S. Həbibova | --- | --- | Satış edir | 25 min AZN-ə qədər | 994 50 733 00 99 | shebibova@yahoo.com | shebibova@yahoo.com | Var",
“E-sayar”,Onlayn mühasibat uçotu proqramı,https://www.startup.az/frontend/web/uploads//images/files/img/people-org-comitet/E-SAYAR.png,https://www.startup.az/startup-content/e-sayar-226,https://www.startup.az/frontend/web/uploads//images/files/img/people-org-comitet/E-SAYAR.png,“E-sayar”,Marketinq,Onlayn mühasibat uçotu proqramı,---,---,---,,Satış edir,Axtarılmır,,"+994125144447, +994552992254",info@e-sayar.az,https://www.e-sayar.az/,Var,,"“E-sayar” | Marketinq | Onlayn mühasibat uçotu proqramı | --- | --- | --- | Satış edir | Axtarılmır | +994125144447, +994552992254 | info@e-sayar.az | https://www.e-sayar.az/ | Var",
“Profam”,Sığorta xidmətlərinin göstərilməsinin onlayn platforma vasitəsilə təşkili,https://www.startup.az/frontend/web/uploads//images/home.jpg,https://www.startup.az/startup-content/profam-162,https://www.startup.az/frontend/web/uploads//images/home.jpg,“Profam”,Maliyyə və e-ticarət,Sığorta xidmətlərinin göstərilməsinin onlayn platforma vasitəsilə təşkili,“Profam” MMC,---,---,,Satış edir,Axtarılmır,,994 70 343 00 20,aismayilov@insure.az,https://insure.az/,Var,,“Profam” | Maliyyə və e-ticarət | Sığorta xidmətlərinin göstərilməsinin onlayn platforma vasitəsilə təşkili | “Profam” MMC | --- | --- | Satış edir | Axtarılmır | 994 70 343 00 20 | aismayilov@insure.az | https://insure.az/ | Var,
Əmir Texniki Xidmətlər,Bal arılarını gənələrdən təmizlənməsi üzrə qurğunun istehsalı,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/emir-texniki-xidmetler-160,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,Əmir Texniki Xidmətlər,Kənd təsərrüfatı,Bal arılarını gənələrdən təmizlənməsi üzrə qurğunun istehsalı,Vüqar Əliyev,---,---,,Satış edir,25 min AZN-ə qədər,,994 50 212 55 45,prof.vugar.aliyev@gmail.com,prof.vugar.aliyev@gmail.com,Var,Əmir Texniki Xidmətlər,,
“Motobaza”,"Motosiklet, iki təkərli elektrikli nəqliyyat vasitələri və velosipedlər üçün onlayn marketpleys",https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,https://www.startup.az/startup-content/motobaza-500,https://www.startup.az/frontend/web/uploads//images/Startup%20%C5%9F%C9%99had%C9%99tnam%C9%99si/kob.jpg,“Motobaza”,Nəqliyyat,"Motosiklet, iki təkərli elektrikli nəqliyyat vasitələri və velosipedlər üçün onlayn marketpleys","""Lumusoft"" MMC",----,----,,İşləyir,Axtarılmır,,----,----,https://motobaza.az/,Var,,"“Motobaza” | Nəqliyyat | Motosiklet, iki təkərli elektrikli nəqliyyat vasitələri və velosipedlər üçün onlayn marketpleys | ""Lumusoft"" MMC | ---- | ---- | İşləyir | Axtarılmır | ---- | ---- | https://motobaza.az/ | Var",
"""Smart Logistics 2021""",Yük avtomaşınlarının sifarişi üçün mobil tətbiq,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,https://www.startup.az/startup-content/smart-logistics-2021-191,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,"""Smart Logistics 2021""",Nəqliyyat,Yük avtomaşınlarının sifarişi üçün mobil tətbiq,"""Smart Logistics 2021"" MMC",---,---,,Satış edir,50 min AZN -ə,,994 77 517 14 14,info@smartlogistics.az,info@smartlogistics.az,Var,"""Smart Logistics 2021""",,
"""Setup""",Uduşlu bilik yarışmasının təşkili,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,https://www.startup.az/startup-content/setup-192,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,"""Setup""",Təhsil,Uduşlu bilik yarışmasının təşkili,Səbuhi Nəsibov,---,---,,Satış edir,25 min AZN-ə qədər,,994 50 223 47 67,sabuhy@nassibov.com,sabuhy@nassibov.com,Var,,"""Setup"" | Təhsil | Uduşlu bilik yarışmasının təşkili | Səbuhi Nəsibov | --- | --- | Satış edir | 25 min AZN-ə qədər | 994 50 223 47 67 | sabuhy@nassibov.com | sabuhy@nassibov.com | Var",
QReact,QReact müştərilərinizdən real rəylər əldə etməyin müasir üsuludur QR kodunuzu və rəy formasını yaratmaq üçün QReact istifadə edə bilərsiniz,https://www.startup.az/frontend/web/uploads//images/611568486c712545897a5a99qreactneta6073a9119d9.jpeg,https://www.startup.az/startup-content/qreact-95,https://www.startup.az/frontend/web/uploads//images/611568486c712545897a5a99qreactneta6073a9119d9.jpeg,QReact,Dizayner,QReact müştərilərinizdən real rəylər əldə etməyin müasir üsuludur. QR kodunuzu və rəy formasını yaratmaq üçün QReact istifadə edə bilərsiniz.,---,11-50,----,,Satış edir,50 min AZN -ə,NEXT STEP  İnnovasiya Mərkəzi,051 347 23 47,https://www.facebook.com/qreact,https://www.qreact.net/,Yoxdur,,QReact | Dizayner | QReact müştərilərinizdən real rəylər əldə etməyin müasir üsuludur. QR kodunuzu və rəy formasını yaratmaq üçün QReact istifadə edə bilərsiniz. | --- | 11-50 | ---- | Satış edir | 50 min AZN -ə | NEXT STEP  İnnovasiya Mərkəzi | 051 347 23 47 | https://www.facebook.com/qreact | https://www.qreact.net/ | Yoxdur,
"""Bahshish.me""",Nağdsız bəxşiş ödəmə sistemiNağdsız bəxşiş ödəmə sistemi,,https://www.startup.az/startup-content/bahshish.me-224,https://www.startup.az,"""Bahshish.me""",Maliyyə və e-ticarət,Nağdsız bəxşiş ödəmə sistemiNağdsız bəxşiş ödəmə sistemi,---,---,---,,Satış edir,Axtarılmır,,0553808839,support@bahshish.me,https://bahshish.me/,Var,"""Bahshish.me""",,
"""Psixosən""",Psixoloq xidmətlərin onlayn təşkili üzrə vasitəçilik xidməti,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,https://www.startup.az/startup-content/psixosen-194,https://www.startup.az/frontend/web/uploads//images/kobua.jpg,"""Psixosən""",Həyat tərzi,Psixoloq xidmətlərin onlayn təşkili üzrə vasitəçilik xidməti,"""Psixosən"" MMC",---,---,,Satış edir,25 min AZN-ə qədər,,994 51 541 87 16,psixosen@gmail.com,psixosen@gmail.com,Yoxdur,,"""Psixosən"" | Həyat tərzi | Psixoloq xidmətlərin onlayn təşkili üzrə vasitəçilik xidməti | ""Psixosən"" MMC | --- | --- | Satış edir | 25 min AZN-ə qədər | 994 51 541 87 16 | psixosen@gmail.com | psixosen@gmail.com | Yoxdur",
"""Alimok""",Uşaqların şəxsi inkişaf və zehni biliklərini inkişaf etdirmək üçün təhsil platforması,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,https://www.startup.az/startup-content/alimok-221,https://www.startup.az/frontend/web/uploads//images/kobia.jpg,"""Alimok""",Təhsil,Uşaqların şəxsi inkişaf və zehni biliklərini inkişaf etdirmək üçün təhsil platforması,"""Alimok"" MMC",---,---,,Satış edir,25 min AZN-ə qədər,,994 50 204 66 91,support@alimok.com,---,Var,,"""Alimok"" | Təhsil | Uşaqların şəxsi inkişaf və zehni biliklərini inkişaf etdirmək üçün təhsil platforması | ""Alimok"" MMC | --- | --- | Satış edir | 25 min AZN-ə qədər | 994 50 204 66 91 | support@alimok.com | --- | Var",
